,n,p,neighbor,TDR,miss,extra,miss+extra,miss_rate,extra_rate,SHD,SHD_rate,sd(SHD),recall,precision,F1,TPR,FPR,efficiency
pc,2500,100,4,0.873277,25.64,9.93,35.57,0.126723,0.05407232,49.44,0.2469687,0.9491984,0.9770927,0.9628006,0.9491984,0.000434249,0.0200762,101797.4
pc,5000,100,4,0.8925503,21.865,9.915,31.78,0.1074497,0.0525003,45.86,0.2280847,0.946301,0.9812337,0.9632761,0.946301,0.00036438,0.01970804,138880.4
pc,10000,100,4,0.9011868,20.195,9.845,30.04,0.09881323,0.05162473,43.57,0.2161166,0.9486512,0.9823139,0.965047,0.9486512,0.00034691,0.01845231,187182.7
hc,2500,100,4,0.9954087,0.925,49.845,50.77,0.004591307,0.1938829,58.17,0.2901993,1,0.9717637,0.9855844,1,0.000768281,0.06560004,31646.89
hc,5000,100,4,0.997022,0.605,38.915,39.52,0.002978044,0.1572351,45.215,0.2247572,1,0.9772849,0.9884308,1,0.000590513,0.06300228,30604.13
hc,10000,100,4,0.9977857,0.45,37.36,37.81,0.002214338,0.1435769,44.715,0.218622,1,0.972871,0.9861588,1,0.000716687,0.08569391,30787.68
mmhc,2500,100,4,0.8832751,23.62,4.97,28.59,0.1167249,0.02757151,33.36,0.1657224,1,0.9736426,0.9865195,1,0.000490814,0.01205157,66107.95
mmhc,5000,100,4,0.9029977,19.75,3.95,23.7,0.09700226,0.0213655,27.645,0.1364087,1,0.9785533,0.9890447,1,0.000406047,0.01099069,82496.83
mmhc,10000,100,4,0.9118572,18.055,2.755,20.81,0.08814278,0.01489056,24.855,0.1220697,1,0.978202,0.9888743,1,0.000416404,0.00912914,128142.1
pc,50,10,5,0.2878977,18.07667,0.3266667,18.40333,0.7121023,0.04411267,21.67,0.8579652,0.7637737,0.8594585,0.7928036,0.7637737,0.01323461,0.07306407,328.6033
pc,50,10,6,0.2275897,23.06333,0.3233333,23.38667,0.7724103,0.04626455,26.63,0.8945376,0.7646365,0.8402196,0.7792507,0.7646365,0.01401819,0.07564538,368.8833
pc,50,10,7,0.1774261,29.06,0.2466667,29.30667,0.8225739,0.03628968,32.46,0.9199119,0.7479544,0.8434735,0.7744691,0.7479544,0.01270827,0.07088777,388.2467
pc,250,10,5,0.4713923,13.32667,0.5,13.82667,0.5286077,0.04172295,17.23667,0.688367,0.8924105,0.8281844,0.8493009,0.8924105,0.02657569,0.0535817,630.15
pc,250,10,6,0.3933248,18.25,0.5666667,18.81667,0.6066752,0.04622226,22.03,0.7353062,0.9191687,0.8142083,0.855308,0.9191687,0.02896452,0.05726222,672.4967
pc,250,10,7,0.3165848,24.15333,0.6366667,24.79,0.6834152,0.05400566,27.89667,0.7906639,0.9229061,0.8059908,0.8536107,0.9229061,0.02917349,0.06378877,686.3233
pc,500,10,5,0.537057,11.68333,0.63,12.31333,0.462943,0.04519199,15.52,0.6206594,0.913676,0.8523148,0.8750116,0.913676,0.02651106,0.05648089,812.05
